pilihan jasa,hari,waktu,harga
Pembajakan (traktor),selasa,12:30-13:30,400000
Pemanenan (traktor),kamis,10:00-11:00,800000
Pembajakan (traktor),sabtu,15:00-16:00,400000
Pembajakan (traktor),kamis,15:00-16:00,800000
Pembajakan (traktor),senin,04:00-10:00,400000
Pemupukan,rabu,09:00-11;00,100000
Pemangkasan,jumat,14:00-16:00,100000
Pembajakan (traktor),sabtu,6,600000
penanaman Bibit,rabu,6,150000
Pembajakan (traktor),sabtu,10:00-11:00,600000
Pembajakan (traktor),minggu,,400000
Pembajakan (traktor),senin,15:00-16:00,600000
Pemanenan (traktor),jumat,08:00-12:00,1600000
Penggemburan (traktor),rabu,33,525000
Pembajakan (traktor),senin,clear,400000
Pembajakan (traktor),senin,,400000
Pembajakan (traktor),senin,clear,400000
Pembajakan (traktor),senin,2,400000
Pembajakan (traktor),senin,2,400000
Pembajakan (traktor),sabtu,4,600000
Pembajakan (traktor),kamis,3,400000
Pembajakan (traktor),senin,15:00-16:00,800000
penanaman Bibit,kamis,12:30-13:30,150000
Pembajakan (traktor),senin,2,400000
